name,selling_price,km_driven,fuel,transmission,engine (CC),max_power(bhp),seats,Clusters
Hyundai i10 Magna,190000,110000,Petrol,Manual,1197.0,78.9,5.0,1
Hyundai i20 Asta 1.4 CRDi,425000,60000,Diesel,Manual,1396.0,88.76,5.0,0
Maruti Swift Dzire ZDI,630000,147000,Diesel,Manual,1248.0,74.0,5.0,0
Ford Figo 1.2P Titanium MT,600000,25000,Petrol,Manual,1196.0,86.8,5.0,1
Maruti Baleno Delta 1.2,650000,30000,Petrol,Manual,1197.0,83.1,5.0,1
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,Manual,1498.0,108.5,5.0,0
Honda City i DTEC VX,630000,135000,Diesel,Manual,1498.0,98.6,5.0,0
Maruti Wagon R AMT VXI,448000,30000,Petrol,Automatic,998.0,67.0,5.0,2
Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,Diesel,Manual,1498.0,108.62,5.0,0
Maruti Vitara Brezza VDi,745000,70000,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,Automatic,1248.0,88.5,5.0,2
Hyundai i10 Magna,235000,60000,Petrol,Manual,1197.0,78.9,5.0,1
Maruti Swift VDI Deca,630000,70000,Diesel,Manual,1248.0,74.0,5.0,0
Toyota Fortuner 4x4 MT,1700000,78000,Diesel,Manual,2982.0,168.5,7.0,0
Maruti Swift Star VDI,450000,120000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Ertiga ZXI,450000,120000,Petrol,Manual,1373.0,93.7,7.0,1
Volkswagen Vento Diesel Highline,450000,170000,Diesel,Manual,1598.0,103.6,5.0,0
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,Manual,2494.0,100.6,8.0,0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,Manual,1498.0,98.59,5.0,0
BMW X1 sDrive20i xLine,2500000,30000,Petrol,Automatic,1998.0,189.0,5.0,2
Maruti Celerio ZXI MT BSIV,484999,10000,Petrol,Manual,998.0,67.04,5.0,1
Datsun GO A Petrol,275000,49000,Petrol,Manual,1198.0,67.05,5.0,1
Maruti Alto 800 VXI BSIV,315000,32000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Alto 800 LXI BSIV,275000,38000,Petrol,Manual,796.0,47.3,5.0,1
Hyundai i10 Era 1.1,290000,28000,Petrol,Manual,1086.0,68.05,5.0,1
Maruti Omni 8 Seater BSIV,280000,32000,Petrol,Manual,796.0,35.0,5.0,1
Maruti Wagon R LXI LPG BSIV,225000,44000,LPG,Manual,998.0,58.2,5.0,4
Volkswagen Polo 1.2 MPI Comfortline,455000,42000,Petrol,Manual,1198.0,74.0,5.0,1
Hyundai i10 Magna 1.1L,351000,45000,Petrol,Manual,1086.0,68.05,5.0,1
Volkswagen Vento Petrol Highline,535000,12000,Petrol,Manual,1598.0,103.6,5.0,1
Maruti Zen Estilo LXI BSIII,175000,55500,Petrol,Manual,998.0,67.1,5.0,1
Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,Manual,1197.0,82.85,5.0,1
Maruti Swift Dzire LDI,600000,150000,Diesel,Manual,1248.0,74.0,5.0,0
Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,Automatic,1197.0,82.0,5.0,2
Maruti Alto LX BSIII,120000,68000,Petrol,Manual,796.0,46.3,5.0,1
Hyundai i20 1.4 Asta Option,725000,110000,Diesel,Manual,1396.0,88.73,5.0,0
Maruti Wagon R VXI,185000,77000,Petrol,Manual,998.0,67.05,5.0,1
Tata Manza Aura (ABS) Quadrajet,200000,100000,Diesel,Manual,1248.0,90.0,5.0,0
Maruti Swift VXI,615000,10000,Petrol,Manual,1197.0,81.8,5.0,1
Maruti Eeco 7 Seater Standard BSIV,270000,100000,Petrol,Manual,1196.0,73.0,7.0,1
Maruti Baleno Zeta 1.2,610000,35000,Petrol,Manual,1197.0,83.1,5.0,1
Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,Automatic,2179.0,120.0,8.0,2
Ford Freestyle Titanium Petrol BSIV,400000,5000,Petrol,Manual,1194.0,94.68,5.0,1
Hyundai Verna VTVT 1.6 SX,866000,37800,Petrol,Manual,1591.0,121.3,5.0,1
Volkswagen Passat 1.8 TSI MT,700000,114000,Petrol,Manual,1798.0,160.0,5.0,1
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,Manual,1172.0,65.0,5.0,1
Mahindra XUV500 W11 Option AWD,1700000,32000,Diesel,Manual,2179.0,155.0,7.0,0
Tata Indigo CS LS (TDI) BS-III,375000,100000,Diesel,Manual,1405.0,69.01,5.0,0
Hyundai Verna 1.6 SX,522000,150000,Diesel,Manual,1582.0,126.32,5.0,0
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,Manual,1396.0,88.76,5.0,0
Toyota Corolla Altis G,300000,100000,Petrol,Manual,1798.0,138.1,5.0,1
Maruti Celerio VXI,475000,13000,Petrol,Manual,998.0,67.04,5.0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,Manual,1248.0,88.5,5.0,0
Maruti Swift Dzire VXI,595000,40000,Petrol,Manual,1197.0,83.14,5.0,1
Maruti Wagon R VXI BS IV,440000,35000,Petrol,Manual,998.0,67.04,5.0,1
Nissan Terrano XL 85 PS,400000,70000,Diesel,Manual,1461.0,83.8,5.0,0
Hyundai Creta 1.6 CRDi SX,1140000,50000,Diesel,Manual,1582.0,126.2,5.0,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,Manual,1498.0,98.96,5.0,0
Maruti Swift Dzire VDi,370000,175000,Diesel,Manual,1248.0,73.9,5.0,0
Renault KWID 1.0,350000,25000,Petrol,Manual,999.0,67.0,5.0,1
Maruti Celerio VXI,360000,40000,Petrol,Manual,998.0,67.04,5.0,1
Maruti Alto LXi,105000,65000,Petrol,Manual,796.0,46.3,5.0,1
Maruti Ertiga VDI,625000,90000,Diesel,Manual,1248.0,88.76,7.0,0
Hyundai Santro Xing GLS,135000,80000,Petrol,Manual,1086.0,62.1,5.0,1
Maruti Ertiga VDI,700000,110000,Diesel,Manual,1248.0,88.76,7.0,0
Honda Amaze S i-VTEC,690000,1303,Petrol,Manual,1198.0,86.7,5.0,1
Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Automatic,1968.0,188.0,5.0,2
Lexus ES 300h,5150000,20000,Petrol,Automatic,2487.0,214.56,5.0,2
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,1999.0,177.0,5.0,2
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Automatic,3604.0,280.0,5.0,2
Land Rover Discovery Sport TD4 SE,4500000,21000,Diesel,Automatic,1999.0,148.31,7.0,2
Mercedes-Benz S-Class S 350 CDI,6000000,37000,Diesel,Automatic,2987.0,254.79,5.0,2
BMW 5 Series 520d Sport Line,3790000,29500,Diesel,Automatic,1995.0,187.74,5.0,2
BMW X4 M Sport X xDrive20d,5800000,7500,Diesel,Automatic,1995.0,190.0,5.0,2
Skoda Superb LK 1.8 TSI AT,1864999,50000,Petrol,Automatic,1798.0,177.46,5.0,2
Mercedes-Benz E-Class E250 Edition E,2700000,35000,Diesel,Automatic,2143.0,204.0,5.0,2
MG Hector Sharp AT BSIV,1750000,19000,Petrol,Automatic,1451.0,141.0,5.0,2
Honda City i-VTEC CVT VX,795000,41000,Petrol,Automatic,1497.0,117.6,5.0,2
Toyota Corolla Altis 1.8 G CVT,625000,39000,Petrol,Automatic,1798.0,138.03,5.0,2
Volvo XC40 D4 R-Design,3400000,22000,Diesel,Automatic,1969.0,190.0,5.0,2
Audi Q7 35 TDI Quattro Premium,2650000,53000,Diesel,Automatic,2967.0,241.4,7.0,2
Maruti Ciaz ZDi,535000,40000,Diesel,Manual,1248.0,88.5,5.0,0
Mercedes-Benz S-Class S 350 CDI,5850000,47000,Diesel,Automatic,2987.0,282.0,5.0,2
BMW 5 Series 523i,975000,72200,Petrol,Automatic,2497.0,150.0,5.0,2
Hyundai Elantra S,805000,49900,Petrol,Manual,1797.0,147.5,5.0,1
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,1999.0,177.0,5.0,2
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,Manual,1198.0,108.5,5.0,1
Volkswagen Vento Petrol Highline,375000,49000,Petrol,Manual,1598.0,103.6,5.0,1
Hyundai Elantra SX,550000,95000,Petrol,Manual,1797.0,147.5,5.0,1
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Automatic,1598.0,103.5,5.0,2
Mercedes-Benz CLA 200 CGI Sport,2550000,18000,Petrol,Automatic,1991.0,183.0,5.0,2
Maruti Ertiga ZXI,599000,46100,Petrol,Manual,1373.0,93.7,7.0,1
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,Automatic,1991.0,181.04,5.0,2
Honda City V AT,875000,18000,Petrol,Automatic,1497.0,116.3,5.0,2
Toyota Glanza V CVT,894999,9654,Petrol,Automatic,1197.0,81.8,5.0,2
Maruti Alto K10 VXI,175000,11000,Petrol,Manual,998.0,67.05,5.0,1
Maruti Swift VXI,340000,24300,Petrol,Manual,1197.0,81.8,5.0,1
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,Automatic,2755.0,171.5,7.0,2
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,Automatic,1497.0,108.5,5.0,2
BMW 3 Series 320d Luxury Line,2150000,30000,Diesel,Automatic,1995.0,190.0,5.0,2
Toyota Camry 2.5 Hybrid,1900000,41000,Petrol,Automatic,2494.0,157.7,5.0,2
BMW 5 Series 520d Luxury Line,2900000,12000,Diesel,Automatic,1995.0,190.0,5.0,2
Toyota Camry W4 (AT),450000,71000,Petrol,Automatic,2362.0,164.7,5.0,2
Maruti Ertiga BSIV ZXI Plus,850000,20000,Petrol,Manual,1373.0,91.1,7.0,1
Volkswagen Vento Diesel Highline,300000,100000,Diesel,Manual,1598.0,103.6,5.0,0
Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,Manual,1196.0,86.8,5.0,1
Ford Figo Diesel LXI,160000,120000,Diesel,Manual,1399.0,68.0,5.0,0
Maruti Swift VXI Optional,515000,36600,Petrol,Manual,1197.0,81.8,5.0,1
Maruti Wagon R AMT VXI,390000,50000,Petrol,Automatic,998.0,67.0,5.0,2
Hyundai i20 Magna 1.2,550000,14000,Petrol,Manual,1197.0,81.83,5.0,1
Maruti 800 Std,40000,40000,Petrol,Manual,796.0,37.0,4.0,1
Maruti Ritz VDi,220000,120000,Diesel,Manual,1248.0,73.9,5.0,0
Hyundai Grand i10 Magna,425000,70000,Petrol,Manual,1197.0,82.0,5.0,1
Volkswagen Ameo 1.0 MPI Trendline,480000,13000,Petrol,Manual,999.0,75.0,5.0,1
Hyundai Grand i10 Sportz,400000,60000,Petrol,Manual,1197.0,82.0,5.0,1
Maruti Swift Dzire VXI,487000,35000,Petrol,Manual,1197.0,85.8,5.0,1
Hyundai Xcent 1.2 Kappa S,386000,44000,Petrol,Manual,1197.0,82.0,5.0,1
Honda City 1.5 EXI,100000,120000,Petrol,Manual,1493.0,100.0,5.0,1
Toyota Corolla Altis Diesel D4DG,300000,60000,Diesel,Manual,1364.0,87.2,5.0,0
Daewoo Matiz SD,100000,60000,Petrol,Manual,796.0,53.0,5.0,1
Toyota Fortuner 4x2 Manual,1750000,30000,Diesel,Manual,2982.0,168.5,7.0,0
Mahindra KUV 100 mFALCON G80 K8,450000,15000,Petrol,Manual,1198.0,82.0,6.0,1
Tata Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,Manual,1248.0,74.0,5.0,0
Honda City 1.5 S MT,345000,47000,Petrol,Manual,1497.0,118.0,5.0,1
Maruti Zen LXI,85000,90000,Petrol,Manual,993.0,60.0,5.0,1
Maruti Wagon R VXI BS IV with ABS,215000,120600,Petrol,Manual,998.0,67.1,5.0,1
Hyundai Verna Transform SX VTVT,320000,100000,Petrol,Manual,1599.0,103.2,5.0,1
Maruti Swift Dzire VXI,459999,60000,Petrol,Manual,1197.0,83.14,5.0,1
Hyundai Getz GLS,65000,86000,Petrol,Manual,1341.0,83.0,5.0,1
Hyundai Elite i20 Sportz Plus BSIV,720000,5000,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Ciaz 1.3 Alpha,800000,37000,Diesel,Manual,1248.0,88.5,5.0,0
Tata Tigor 1.2 Revotron XZ,520000,14000,Petrol,Manual,1199.0,84.0,5.0,1
Maruti Ertiga VDI,580000,70000,Diesel,Manual,1248.0,88.76,7.0,0
Honda City i VTEC S,600000,50000,Petrol,Manual,1497.0,117.3,5.0,1
Honda Brio S MT,290000,60000,Petrol,Manual,1198.0,86.8,5.0,1
Maruti Wagon R LXI CNG,360000,50000,CNG,Manual,998.0,58.16,5.0,3
Maruti Swift Dzire VXI,550000,50000,Petrol,Manual,1197.0,83.14,5.0,1
Hyundai i20 Sportz 1.2,375000,70000,Petrol,Manual,1197.0,82.85,5.0,1
Maruti Wagon R AMT VXI,420000,35000,Petrol,Automatic,998.0,67.0,5.0,2
Maruti Swift Dzire VXI 1.2,550000,20000,Petrol,Manual,1197.0,81.8,5.0,1
Maruti Alto 800 LXI,270000,20000,Petrol,Manual,796.0,47.3,5.0,1
Maruti Swift Dzire AMT VXI BS IV,700000,7800,Petrol,Automatic,1197.0,81.8,5.0,2
Maruti Swift VXI Optional,500000,20000,Petrol,Manual,1197.0,81.8,5.0,1
Tata Hexa XE,1250000,15000,Diesel,Manual,2179.0,147.94,7.0,0
Hyundai i20 Magna,320000,31377,Petrol,Manual,1197.0,82.85,5.0,1
Maruti Swift Dzire VDI,700000,50000,Diesel,Manual,1248.0,74.02,5.0,0
Maruti Wagon R VXI BS IV,290000,60000,Petrol,Manual,998.0,67.04,5.0,1
Toyota Corolla Altis 1.8 VL AT,550000,100000,Petrol,Automatic,1794.0,138.1,5.0,2
Honda Brio S MT,265000,60000,Petrol,Manual,1198.0,86.8,5.0,1
Maruti Baleno Alpha Automatic,830000,5000,Petrol,Automatic,1197.0,83.1,5.0,2
Tata Safari Storme EX,800000,60000,Diesel,Manual,2179.0,147.94,7.0,0
Maruti Alto LXi,160000,25000,Petrol,Manual,796.0,46.3,5.0,1
Renault KWID RXT,335000,30000,Petrol,Manual,799.0,53.3,5.0,1
Datsun GO T BSIV,329000,80000,Petrol,Manual,1198.0,67.0,5.0,1
Maruti Vitara Brezza VDi Option,775000,75000,Diesel,Manual,1248.0,88.5,5.0,0
Hyundai Xcent 1.2 VTVT SX,524000,32000,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Alto 800 LXI,245000,40000,Petrol,Manual,796.0,47.3,5.0,1
Hyundai i20 1.2 Sportz,275000,93000,Petrol,Manual,1197.0,80.0,5.0,1
Tata Zest Revotron 1.2 XT,520000,60000,Petrol,Manual,1193.0,88.7,5.0,1
Nissan Sunny XL,550000,37000,Petrol,Manual,1498.0,97.7,5.0,1
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,Petrol,Manual,1497.0,121.36,5.0,1
Nissan Micra Active XV S,300000,80000,Petrol,Manual,1198.0,67.04,5.0,1
Maruti Wagon R LXI Optional,350000,140000,Petrol,Manual,998.0,67.04,5.0,1
Mahindra Ssangyong Rexton RX5,900000,70000,Diesel,Manual,2696.0,162.0,7.0,0
Mahindra Quanto C8,300000,120000,Diesel,Manual,1493.0,100.0,7.0,0
Maruti Ritz LDi,250000,110000,Diesel,Manual,1248.0,73.9,5.0,0
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,Diesel,Manual,1582.0,126.2,5.0,0
Renault KWID RXT,270000,44000,Petrol,Manual,799.0,53.3,5.0,1
Maruti Ertiga VDI,640000,80000,Diesel,Manual,1248.0,88.76,7.0,0
Mahindra XUV500 W4,650000,125000,Diesel,Manual,2179.0,140.0,7.0,0
Maruti Eeco 5 Seater AC BSIV,409999,13500,Petrol,Manual,1196.0,73.0,5.0,1
Hyundai Santro Xing GLS,165000,75000,Petrol,Manual,1086.0,62.1,5.0,1
Hyundai Aent GLE,80000,120000,Petrol,Manual,1495.0,94.0,5.0,1
Mahindra XUV500 W8 2WD,535000,120000,Diesel,Manual,2179.0,140.0,7.0,0
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,70000,Diesel,Manual,2494.0,100.57,7.0,0
Maruti Swift Dzire VDI,550000,70000,Diesel,Manual,1248.0,74.0,5.0,0
Honda Amaze S CVT Petrol BSIV,680000,15000,Petrol,Automatic,1199.0,88.76,5.0,2
Hyundai i10 Sportz 1.2,200000,53000,Petrol,Manual,1197.0,78.9,5.0,1
Maruti Swift Dzire VDI,500000,120000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Ertiga SHVS ZDI Plus,1000000,70000,Diesel,Manual,1248.0,88.5,7.0,0
Hyundai Getz 1.3 GVS,110000,120000,Petrol,Manual,1341.0,82.9,5.0,1
Hyundai i20 1.2 Magna,320000,100000,Petrol,Manual,1197.0,80.0,5.0,1
Maruti Swift LXI Optional-O,350000,100000,Petrol,Manual,1197.0,83.11,5.0,1
Tata Indica Vista TDI LS,170000,162500,Diesel,Manual,1405.0,70.0,5.0,0
Hyundai i20 2015-2017 Asta 1.4 CRDi,800000,39000,Diesel,Manual,1396.0,88.73,5.0,0
Maruti Ignis 1.3 Alpha,500000,75000,Diesel,Manual,1248.0,74.0,5.0,0
Tata Hexa XTA,1380000,50000,Diesel,Automatic,2179.0,153.86,7.0,2
Mahindra Marazzo M6 8Str,1300000,40000,Diesel,Manual,1497.0,121.0,8.0,0
Hyundai Verna 1.6 CRDI,530000,92500,Diesel,Manual,1582.0,126.3,5.0,0
Maruti Swift Dzire VDI,360000,158000,Diesel,Manual,1248.0,74.0,5.0,0
Maruti Swift Dzire LDi,310000,120000,Diesel,Manual,1248.0,73.9,5.0,0
Honda City i DTEC V,725000,50000,Diesel,Manual,1498.0,98.6,5.0,0
Maruti Swift Dzire ZDi,340000,110000,Diesel,Manual,1248.0,73.9,5.0,0
Hyundai Xcent 1.2 CRDi E,550000,2000,Diesel,Manual,1186.0,73.97,5.0,0
Toyota Fortuner 3.0 Diesel,1150000,181000,Diesel,Manual,2982.0,171.0,7.0,0
Tata Tiago 1.05 Revotorq XZ,380000,70000,Diesel,Manual,1047.0,69.0,5.0,0
Nissan Sunny XL AT Special Edition,350000,90000,Petrol,Automatic,1498.0,99.6,5.0,2
Hyundai Elite i20 Magna Plus BSIV,610000,2000,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Swift Dzire VXI,525000,20000,Petrol,Manual,1197.0,83.14,5.0,1
Toyota Innova 2.5 GX 7 STR,480000,120000,Diesel,Manual,2494.0,102.0,7.0,0
Mahindra Thar CRDe,780000,35000,Diesel,Manual,2498.0,105.0,6.0,0
Maruti Swift Dzire ZDi,320000,193000,Diesel,Manual,1248.0,73.9,5.0,0
Maruti Swift 1.2 DLX (Only Delhi),375000,80000,Petrol,Manual,1197.0,81.8,5.0,1
Datsun GO D Petrol,300000,40000,Petrol,Manual,1198.0,67.05,5.0,1
Hyundai i20 Asta 1.4 CRDi,500000,70000,Diesel,Manual,1396.0,88.73,5.0,0
Mahindra Scorpio LX,404000,122358,Diesel,Manual,2179.0,120.0,9.0,0
Tata Sumo Gold EX BSIII,500000,75000,Diesel,Manual,2956.0,69.01,7.0,0
Tata Tiago Wizz 1.05 Revotorq,350000,120000,Diesel,Manual,1047.0,69.0,5.0,0
Tata Zest Revotron 1.2 XT,380000,40000,Petrol,Manual,1193.0,88.7,5.0,1
Hyundai Aent GLE,114999,95200,Petrol,Manual,1495.0,94.0,5.0,1
Honda Brio Exclusive Edition,335000,33033,Petrol,Manual,1198.0,86.8,5.0,1
Hyundai Grand i10 AT Asta,465000,63063,Petrol,Automatic,1197.0,82.0,5.0,2
Tata Manza Club Class Quadrajet90 LX,290000,60000,Diesel,Manual,1248.0,88.76,5.0,0
Maruti Alto LX,110000,45000,Petrol,Manual,796.0,46.3,5.0,1
Tata New Safari DICOR 2.2 EX 4x2,450000,80000,Diesel,Manual,2179.0,138.1,7.0,0
Mahindra Bolero SLE,400000,170000,Diesel,Manual,2523.0,63.0,7.0,0
Mahindra Bolero DI DX 7 Seater,210000,207890,Diesel,Manual,2523.0,63.0,7.0,0
Mercedes-Benz GL-Class 220d 4MATIC Sport,4600000,7976,Diesel,Automatic,2143.0,170.0,5.0,2
Maruti Omni E MPI STD BS IV,220000,35000,Petrol,Manual,796.0,34.2,8.0,1
Hyundai Grand i10 Sportz,450000,35000,Petrol,Manual,1197.0,82.0,5.0,1
Hyundai Grand i10 Sportz,450000,35000,Petrol,Manual,1197.0,82.0,5.0,1
Hyundai i10 Sportz AT,290000,50000,Petrol,Automatic,1197.0,78.9,5.0,2
Maruti Swift VXI Deca,520000,20000,Petrol,Manual,1197.0,81.8,5.0,1
Hyundai i10 Sportz AT,265000,20000,Petrol,Automatic,1197.0,78.9,5.0,2
Maruti Swift VXI,330000,50000,Petrol,Manual,1197.0,85.8,5.0,1
Maruti Swift VXI,330000,50000,Petrol,Manual,1197.0,85.8,5.0,1
Mahindra Bolero 2011-2019 ZLX,509999,120000,Diesel,Manual,2523.0,62.1,7.0,0
Hyundai Verna 1.6 SX VTVT (O),500000,70000,Petrol,Manual,1591.0,121.3,5.0,1
Hyundai i20 Active 1.2,525000,50000,Petrol,Manual,1197.0,81.86,5.0,1
Maruti Baleno Zeta,675000,16500,Petrol,Manual,1197.0,81.8,5.0,1
Hyundai i20 1.2 Asta,300000,70000,Petrol,Manual,1197.0,80.0,5.0,1
Maruti Alto LXI,90000,99361,Petrol,Manual,796.0,46.3,5.0,1
Maruti Swift Dzire VDI,650000,25000,Diesel,Manual,1248.0,74.0,5.0,0
